themename,themepercent,themenamecodename,code,snname,sncode
"Public expenditure, financial management and procurement",12,Vulnerability assessment and monitoring,55,Central government administration,BC
"Public expenditure, financial management and procurement",12,Vulnerability assessment and monitoring,55,Vocational training,EV
Population and reproductive health,3,Population and reproductive health,69,Health,JA
Population and reproductive health,3,Population and reproductive health,69,Public administration- Health,BQ
Population and reproductive health,3,Injuries and non-communicable diseases,89,Health,JA
Population and reproductive health,3,Injuries and non-communicable diseases,89,Public administration- Health,BQ
Population and reproductive health,3,Child health,63,Health,JA
Population and reproductive health,3,Child health,63,Public administration- Health,BQ
Population and reproductive health,3,Health system performance,67,Health,JA
Population and reproductive health,3,Health system performance,67,Public administration- Health,BQ
"Micro, Small and Medium Enterprise support",25,"Micro, Small and Medium Enterprise support",41,Energy efficiency in Heat and Power,LA
"Micro, Small and Medium Enterprise support",25,"Micro, Small and Medium Enterprise support",41,Public administration- Energy and mining,BU
"Micro, Small and Medium Enterprise support",25,"Micro, Small and Medium Enterprise support",41,SME Finance,FH
"Micro, Small and Medium Enterprise support",25,Climate change,81,Energy efficiency in Heat and Power,LA
"Micro, Small and Medium Enterprise support",25,Climate change,81,Public administration- Energy and mining,BU
"Micro, Small and Medium Enterprise support",25,Climate change,81,SME Finance,FH
"Micro, Small and Medium Enterprise support",25,"Micro, Small and Medium Enterprise support",41,Credit Reporting and Secured Transactions,FR
"Micro, Small and Medium Enterprise support",25,"Micro, Small and Medium Enterprise support",41,General information and communications sector,CZ
"Micro, Small and Medium Enterprise support",25,"Micro, Small and Medium Enterprise support",41,SME Finance,FH
"Micro, Small and Medium Enterprise support",25,"Micro, Small and Medium Enterprise support",41,Banking,FA
"Micro, Small and Medium Enterprise support",25,State-owned enterprise restructuring and privatization,43,Credit Reporting and Secured Transactions,FR
"Micro, Small and Medium Enterprise support",25,State-owned enterprise restructuring and privatization,43,General information and communications sector,CZ
"Micro, Small and Medium Enterprise support",25,State-owned enterprise restructuring and privatization,43,SME Finance,FH
"Micro, Small and Medium Enterprise support",25,State-owned enterprise restructuring and privatization,43,Banking,FA
Regulation and competition policy,15,Regulation and competition policy,40,Central government administration,BC
Regulation and competition policy,15,Regulation and competition policy,40,General industry and trade sector,YZ
Regulation and competition policy,15,Trade facilitation and market access,49,Central government administration,BC
Regulation and competition policy,15,Trade facilitation and market access,49,General industry and trade sector,YZ
Regulation and competition policy,15,"Public expenditure, financial management and procurement",27,Central government administration,BC
Regulation and competition policy,15,"Public expenditure, financial management and procurement",27,General industry and trade sector,YZ
Regulation and competition policy,15,Debt management and fiscal sustainability,21,Central government administration,BC
Regulation and competition policy,15,Debt management and fiscal sustainability,21,General industry and trade sector,YZ
Regulation and competition policy,15,Tax policy and administration,28,Central government administration,BC
Regulation and competition policy,15,Tax policy and administration,28,General industry and trade sector,YZ
Natural disaster management,20,Natural disaster management,52,Central government administration,BC
Natural disaster management,20,Natural disaster management,52,"Public administration- Agriculture, fishing and forestry",BL
Natural disaster management,20,Natural disaster management,52,Sub-national government administration,BH
Natural disaster management,20,Indigenous peoples,60,Central government administration,BC
Natural disaster management,20,Indigenous peoples,60,"Public administration- Agriculture, fishing and forestry",BL
Natural disaster management,20,Indigenous peoples,60,Sub-national government administration,BH
Natural disaster management,20,Land administration and management,83,Central government administration,BC
